,Unnamed: 0.1,Star_name,Distance,Mass,Radius,Star_no,Dis,Ms,Rad
46,46,Mirzam,0500,13.5,10,Taurus,+24° 22′ 31″,380.0,M8
47,47,Polaris,0430,5.4,39,,−0° 52′ 45.2″,48.0,M8
48,48,Alphard,0180,3.0,50,Taurus,11° 33′ 43.7″,29.8,L5γ
49,49,Mintaka,01200,24,16.5,Horologium,−44° 17′ 30.5″,130.0,L0β
50,50,Scheat,0196,2.1,95,Eridanus,−9° 35′ 6.6″,18.6,T8
51,51,Almaaz,0653,15,140,Eridanus,−4° 14′ 3.5″,50.0,L7.5
52,52,Rasalgethi,0360,2.8,280,Eridanus,−22° 53′ 22.7″,85.0,L0.5
53,53,Tau Ceti,011.9,0.783,0.893,,−16° 6′ 57.5″,34.0,M7
54,54,Delta Pavonis,019.92,0.991,1.22,,−41° 14′ 46.5″,142.0,M8βγ
55,55,Ran,010.48,0.82,0.74,Eridanus,−23° 53′ 8.3″,29.5,L6.5
56,56,V382 Carinae,"08,900",20,485,,23° 1′ 58.07″,470.0,M8.5
57,57,Eta Carinae,"07,500",100,60–881,,−0° 2′ 5.1″,82.0,M9γ
58,58,Delta Cephei,0887,4.5,44.5,Caelum,−30° 48′ 20.4″,42.0,L2
59,59,Mu Cephei,"06,000",19.2,972,Caelum,−34° 2′ 15″,69.0,L0.5
60,60,Titawin,044.25,1.27,1.48,Orion,3° 30′ 50.1″,44.0,L4
61,61,Rho Cassiopeiae,"08,154",22,636-981,Orion,−0° 10′ 45.2″,64.0,L4γ
62,62,P Cygni,"05,545",30,76,Orion,−4° 45′ 49.9″,73.0,T5.5
63,63,La Superba,"01,000",,129 - 342,Lepus,−14° 3′ 2.2″,40.0,L2.5
64,64,VV Cephei,"04,900",18.2,"516 - 1,050",Camelopardalis,82° 46′ 46.5″,81.0,L7
65,65,61 Cygni,011.41,0.7,0.665,,−0° 59′ 1.9″,41.62,L5
66,66,R Doradus,0178,0.7 - 1.0,298,Lepus,−14° 4′ 48.8″,34.0,T4.5
67,67,Polaris Australis,0281,1.59,3.74,Auriga,39° 10′ 59.2″,34.6,L1β
68,68,R Coronae Borealis,"04,566",0.85,85,,−27° 53′ 58.3″,102.0,M8.5γ
69,69,54 Piscium,036.1,0.76,0.94,,−4° 10′ 24″,69.0,L9
70,70,Mira,0300,1.2,370,,−4° 10′ 24″,69.0,T1.5
71,71,RW Cephei,"014,000",13.9,"1,158",Puppis,−45° 21′ 54.8″,39.0,L5
72,72,Lacaille 8760,012.87,0.6,0.51,Puppis,−43° 22′ 32.9″,65.0,L1.5
73,73,V838 Monocerotis,"019,896",?,380 - 750,Canis Major,−25° 34′ 50.5″,51.0,L0
74,74,HD 140283,0190,?,1.4,Gemini,31° 57′ 26.6″,40.0,L3.5:
75,75,II Pegasi,0130,0.8,3.4,,−49° 0′ 50.3″,60.0,M9
76,76,VY Canis Majoris,"03,900",17,"1,420",Monoceros,−05° 40′ 38.4″,13.4,T9
77,77,Pistol Star,"025,000",100,320,Gemini,17° 10′ 1.2″,29.6,T7
78,78,S Doradus,"0169,000",24,380,Puppis,−39° 54′ 4.4″,25.8,T8 pec
79,79,UY Scuti,"05,100",7–10,755,Gemini,20° 55′ 19.8″,49.0,T5
80,80,Barnard's Star,05.98,0.14,0.20,Gemini,20° 0′ 32.1″,49.6,L0.5
81,81,Luhman 16,06.52,0.04,?,Puppis,−25° 30′ 43.2″,55.0,L2.5
82,82,Proxima Centauri,04.25,0.12,0.15,,16° 12′ 15.7″,60.0,M7βγ
83,83,KIC 8462852,"01,470",1.43,1.58,Carina,−61° 55′ 15.8″,16.1,T6
84,84,R136a1,"0163,000",290,32,Vela,−49° 12′ 1.3″,67.0,L1.5
85,85,Melnick 42,"0163,000",189,21.1,Vela,−49° 12′ 1.3″,67.0,L5.5
86,86,WR 102,"018,134",19,0.39,Cancer,21° 15′ 52.1″,35.0,L7.5
87,87,VFTS 352,"0164,000",57.48,14.47,Lynx,48° 28′ 48.2″,43.0,L8
88,88,YBP 1194,"02,772",1.01,0.99,,9° 47′ 15.4″,55.0,M6.5
89,89,Gliese 1214,047.5,0.16,0.21,Hydra,1° 28′ 31.1″,77.0,T4.5
90,90,NML Cygni,"05,251",50,"1,640 - 2,770",Hydra,−8° 19′ 23.7″,23.53,L5
91,91,VB 10,018.72,0.075,0.10,Hydra,−15° 32′ 37.2″,43.0,L2
92,92,WOH G64,"0163,000",<20,"1,540 - 1,730",,−3° 29′ 32.1″,27.6,M9
93,93,TRAPPIST-1,039.6,0.089,0.12,Pyxis,−19° 49′ 26.8″,50.0,L6
94,94,2MASS J0523-1403,040.3,0.07,0.086,Lynx,35° 17′ 42.9″,95.0,L6.5
95,95,WISE 0855−0714,07.27,0.003,?,Leo,29° 31′ 40.9″,20.0,T6p
96,96,Icarus,"014,400,000,000",33,?,Antlia,−24° 48′ 27.9″,17.4,T8
